url	host	occurrences	source_count	classification	verification
http://overpass-api.de/api/interpreter	overpass-api.de	1	1	external-reference	UNVERIFIED
http://resonance-service:4003	resonance-service	1	1	external-reference	UNVERIFIED
http://vault:8200	vault	1	1	external-reference	UNVERIFIED
http://www.tickeron.co...​	invalid-template	1	1	external-reference	UNVERIFIED
http://www.w3.org/2000/svg	www.w3.org	9	1	documentation	UNVERIFIED
http://your-domain:3000`	invalid-template	1	1	external-reference	UNVERIFIED
http://your-domain:9090`	invalid-template	1	1	external-reference	UNVERIFIED
https://	invalid-template	2	2	external-reference	UNVERIFIED
https://...`	invalid-template	1	1	external-reference	UNVERIFIED
https://*	invalid-template	1	1	external-reference	UNVERIFIED
https://admin.omnigenome-x.com	admin.omnigenome-x.com	1	1	external-reference	UNVERIFIED
https://ai-signals.com/​	ai-signals.com	1	1	external-reference	UNVERIFIED
https://ai.studio/apps/drive/1moQE3bpXqCd24ppy9gQM_-8WPsgUOJuJ	ai.studio	1	1	external-reference	UNVERIFIED
https://aiplatform.com	aiplatform.com	1	1	external-reference	UNVERIFIED
https://amzn.to/3QQ4s44​	amzn.to	1	1	external-reference	UNVERIFIED
https://api-inference.huggingface.co	api-inference.huggingface.co	5	1	external-reference	UNVERIFIED
https://api.aiplatform.com	api.aiplatform.com	1	1	external-reference	UNVERIFIED
https://api.anthropic.com/v1/messages	api.anthropic.com	1	1	external-reference	UNVERIFIED
https://api.bing.microsoft.com/v7.0/search	api.bing.microsoft.com	1	1	external-reference	UNVERIFIED
https://api.clickbank.com/products?keywords=water	api.clickbank.com	1	1	external-reference	UNVERIFIED
https://api.clickbank.com/products?keywords=water+bottle	api.clickbank.com	1	1	external-reference	UNVERIFIED
https://api.clickbank.com/rest/v1/marketplace/products?keywords=water+bottle	api.clickbank.com	1	1	external-reference	UNVERIFIED
https://api.crm.com	api.crm.com	1	1	external-reference	UNVERIFIED
https://api.deepseek.com/v1/search	api.deepseek.com	1	1	external-reference	UNVERIFIED
https://api.githubcopilot.com/v1/engines/codegen/completions	api.githubcopilot.com	1	1	external-reference	UNVERIFIED
https://api.mainnet-beta.solana.com	api.mainnet-beta.solana.com	1	1	external-reference	UNVERIFIED
https://api.omega/reality	api.omega	1	1	external-reference	UNVERIFIED
https://api.omniai.demo/tutor	api.omniai.demo	1	1	external-reference	UNVERIFIED
https://api.omnigenomex.com	api.omnigenomex.com	2	1	external-reference	UNVERIFIED
https://api.omniverse/users	api.omniverse	2	1	external-reference	UNVERIFIED
https://api.openai.com/v1/chat/completions	api.openai.com	1	1	external-reference	UNVERIFIED
https://api.stripe.com/coupons	api.stripe.com	1	1	external-reference	UNVERIFIED
https://api.weather.onion/city/{city}	api.weather.onion	1	1	external-reference	UNVERIFIED
https://api.yourdomain.com	api.yourdomain.com	2	1	external-reference	UNVERIFIED
https://api.yourplatform.com/docs	api.yourplatform.com	1	1	external-reference	UNVERIFIED
https://app.cybrary.it/browse/refined?resultsView=grid&view=course	app.cybrary.it	1	1	external-reference	UNVERIFIED
https://app.morphlin.c...​	invalid-template	1	1	external-reference	UNVERIFIED
https://app.zignaly.co...​	invalid-template	1	1	external-reference	UNVERIFIED
https://appinnovations.com	appinnovations.com	1	1	external-reference	UNVERIFIED
https://appstore.com/productivity-pro	appstore.com	1	1	external-reference	UNVERIFIED
https://ar5iv.labs.arxiv.org/html/2211.12194/assets/x4.png	ar5iv.labs.arxiv.org	1	1	research	UNVERIFIED
https://arxiv.org/html/2406.19963v1	arxiv.org	4	1	research	UNVERIFIED
https://astral.sh/uv/install.sh	astral.sh	1	1	external-reference	UNVERIFIED
https://athena-hologram.demo	athena-hologram.demo	1	1	external-reference	UNVERIFIED
https://bit.ly/3IHzAlY​	bit.ly	1	1	external-reference	UNVERIFIED
https://bit.ly/42Qd3dw​	bit.ly	1	1	external-reference	UNVERIFIED
https://bit.ly/46m1SLZ​	bit.ly	1	1	external-reference	UNVERIFIED
https://bit.ly/47V1Sno​	bit.ly	1	1	external-reference	UNVERIFIED
https://bit.ly/47X1moZ​	bit.ly	1	1	external-reference	UNVERIFIED
https://bit.ly/482ja1U​	bit.ly	1	1	external-reference	UNVERIFIED
https://bit.ly/48jzhZh​	bit.ly	1	1	external-reference	UNVERIFIED
https://bit.ly/4mC5vCu​	bit.ly	1	1	external-reference	UNVERIFIED
https://bit.ly/4pHtL8U​	bit.ly	1	1	external-reference	UNVERIFIED
https://bit.ly/4pLpx04​	bit.ly	1	1	external-reference	UNVERIFIED
https://blockchain.example.com/cert/${user.id}/${courseId}`	blockchain.example.com	1	1	external-reference	UNVERIFIED
https://blog.metaphysic.ai/wp-content/uploads/2023/07/SynthFace-MAIN.jpg	blog.metaphysic.ai	1	1	external-reference	UNVERIFIED
https://blog.yourplatform.com	blog.yourplatform.com	1	1	external-reference	UNVERIFIED
https://calbryant.uk/blog/training-a-new-ai-voice-for-piper-tts-with-only-4-words/tensorboard_hu_fc7863f6bb2e199c.png	calbryant.uk	1	1	external-reference	UNVERIFIED
https://cdn.jsdelivr.net	cdn.jsdelivr.net	1	1	external-reference	UNVERIFIED
https://cdn.jsdelivr.net/npm/three@0.158.0/build/three.min.js	cdn.jsdelivr.net	1	1	external-reference	UNVERIFIED
https://cdn.jsdelivr.net/npm/three@0.180.0/build/three.module.js	cdn.jsdelivr.net	2	2	external-reference	UNVERIFIED
https://cdn.jsdelivr.net/npm/three@0.180.0/build/three.module.js/+esm	cdn.jsdelivr.net	1	1	external-reference	UNVERIFIED
https://cdn.jsdelivr.net/npm/three@0.180.0/examples/jsm/	cdn.jsdelivr.net	2	2	external-reference	UNVERIFIED
https://cdn.prod.website-files.com/64128071fa22275256c1c222/6723297fcb28776f5abc513f_6723274c2028179b53be7808_image%2520%288%29.png	cdn.prod.website-files.com	1	1	external-reference	UNVERIFIED
https://chat.deepseek.com/a/chat/s/16c736d4-52ba-452f-a982-facdba8b4370	chat.deepseek.com	3	1	external-reference	UNVERIFIED
https://chat.deepseek.com/a/chat/s/273a3413-64b7-4770-97cf-94041ff3f783	chat.deepseek.com	1	1	external-reference	UNVERIFIED
https://chat.deepseek.com/a/chat/s/bb1e3772-1e2e-41af-97c8-0e6099eb2d17	chat.deepseek.com	1	1	external-reference	UNVERIFIED
https://chat.qwen.ai/c/7a1c5cd7-b2fa-4cd2-8619-8bb4c49b3eec	chat.qwen.ai	1	1	external-reference	UNVERIFIED
https://chatgpt.com/​	chatgpt.com	1	1	external-reference	UNVERIFIED
https://chatgpt.com/c/6778abd3-01e8-8006-b3b1-07b3006be3cd	chatgpt.com	2	1	external-reference	UNVERIFIED
https://chatgpt.com/c/677912f7-0e64-8006-a91a-c0edb2c750ca	chatgpt.com	1	1	external-reference	UNVERIFIED
https://chatgpt.com/g/g-679d362dfe1c81919e181c94d56f316e-ma-at/c/679d7c63-9f28-8006-8bbd-629f0d846d10	chatgpt.com	2	1	external-reference	UNVERIFIED
https://chatgpt.com/g/g-p-679d32d7c85c8191a637de2b21709405-vm-va-maia-qc/c/2b9fb5ae-0d66-4752-b0bd-5922f9e31d1b	chatgpt.com	1	1	external-reference	UNVERIFIED
https://chatgpt.com/g/g-p-679d32d7c85c8191a637de2b21709405-vm-va-maia-qc/c/66eabfe9-5d94-8006-bf9e-8abd48ea9d06	chatgpt.com	1	1	external-reference	UNVERIFIED
https://chatgpt.com/g/g-p-679d32d7c85c8191a637de2b21709405-vm-va-maia-qc/c/66f02358-43e8-8006-851f-431abe639eab	chatgpt.com	1	1	external-reference	UNVERIFIED
https://chatgpt.com/g/g-p-679d32d7c85c8191a637de2b21709405-vm-va-maia-qc/c/66f460f2-2f5c-8006-96d4-a56bbdf5dd24	chatgpt.com	2	1	external-reference	UNVERIFIED
https://chatgpt.com/g/g-p-679d32d7c85c8191a637de2b21709405-vm-va-maia-qc/c/671a8b44-3fd8-8006-a04a-f293eb87235a	chatgpt.com	2	1	external-reference	UNVERIFIED
https://chatgpt.com/g/g-p-679d32d7c85c8191a637de2b21709405-vm-va-maia-qc/c/67351cd2-8010-8006-8724-d32222a36a16	chatgpt.com	1	1	external-reference	UNVERIFIED
https://chatgpt.com/g/g-p-679d32d7c85c8191a637de2b21709405-vm-va-maia-qc/c/6782835b-50d0-8006-9ce8-2c357fbf996a	chatgpt.com	1	1	external-reference	UNVERIFIED
https://chatgpt.com/g/g-p-679d32d7c85c8191a637de2b21709405-vm-va-maia-qc/c/67934390-cc94-8006-a585-41b2b0d2407b	chatgpt.com	2	2	external-reference	UNVERIFIED
https://chatgpt.com/g/g-p-679d32d7c85c8191a637de2b21709405-vm-va-maia-qc/c/6798472f-0c8c-8006-bdee-7813d81c7a04	chatgpt.com	1	1	external-reference	UNVERIFIED
https://chatgpt.com/g/g-p-679d32d7c85c8191a637de2b21709405-vm-va-maia-qc/c/db4f39cd-4e04-4cab-bb8f-d7a5f0f5d5f8	chatgpt.com	1	1	external-reference	UNVERIFIED
https://claude.ai/​	claude.ai	1	1	external-reference	UNVERIFIED
https://cloud.livekit.io	cloud.livekit.io	2	1	external-reference	UNVERIFIED
https://commentanalyzer.googleapis.com/v1alpha1/comments:analyze?key=API_KEY	commentanalyzer.googleapis.com	1	1	external-reference	UNVERIFIED
https://console.anthropic.com/	console.anthropic.com	1	1	external-reference	UNVERIFIED
https://coqui-tts.readthedocs.io/en/latest/cloning.html?utm_source=chatgpt.com	coqui-tts.readthedocs.io	1	1	documentation	UNVERIFIED
https://cursor.com/​	cursor.com	1	1	external-reference	UNVERIFIED
https://deb.nodesource.com/setup_20.x	deb.nodesource.com	1	1	external-reference	UNVERIFIED
https://demo.trios.org/avatar	demo.trios.org	1	1	external-reference	UNVERIFIED
https://demo.yourplatform.com	demo.yourplatform.com	1	1	external-reference	UNVERIFIED
https://developer.android.com/studio	developer.android.com	2	1	documentation	UNVERIFIED
https://developer.apple.com/download/all/	developer.apple.com	1	1	documentation	UNVERIFIED
https://developer.apple.com/xcode/download/	developer.apple.com	1	1	documentation	UNVERIFIED
https://discord.com/widget?id=	discord.com	1	1	external-reference	UNVERIFIED
https://discord.gg/trios	discord.gg	2	1	external-reference	UNVERIFIED
https://discord.gg/trios-advanced	discord.gg	1	1	external-reference	UNVERIFIED
https://discord.gg/trios-avatar	discord.gg	1	1	external-reference	UNVERIFIED
https://docs.docker.com/	docs.docker.com	1	1	documentation	UNVERIFIED
https://docs.nestjs.com/	docs.nestjs.com	1	1	documentation	UNVERIFIED
https://docs.trios.org	docs.trios.org	2	1	documentation	UNVERIFIED
https://docs.trios.org/advanced	docs.trios.org	1	1	documentation	UNVERIFIED
https://docs.trios.org/avatar-clone	docs.trios.org	1	1	documentation	UNVERIFIED
https://download.pytorch.org/whl/cpu	download.pytorch.org	1	1	external-reference	UNVERIFIED
https://download.pytorch.org/whl/cu118	download.pytorch.org	2	1	external-reference	UNVERIFIED
https://download.pytorch.org/whl/cu121	download.pytorch.org	1	1	external-reference	UNVERIFIED
https://eaconomy.io/mannara	eaconomy.io	1	1	external-reference	UNVERIFIED
https://easywithai.com/storage/2023/07/AnimateDiff-1024x667.webp	easywithai.com	1	1	external-reference	UNVERIFIED
https://ecommerce-site.com	ecommerce-site.com	1	1	external-reference	UNVERIFIED
https://example.com	example.com	3	3	external-reference	UNVERIFIED
https://example.com/download/app1	example.com	1	1	external-reference	UNVERIFIED
https://example.com/login	example.com	1	1	external-reference	UNVERIFIED
https://example.com/model.stl	example.com	1	1	external-reference	UNVERIFIED
https://example.com/placeholder	example.com	1	1	external-reference	UNVERIFIED
https://fathom.video​	fathom.video​	1	1	external-reference	UNVERIFIED
https://fonts.googleapis.com	fonts.googleapis.com	1	1	external-reference	UNVERIFIED
https://fonts.gstatic.com	fonts.gstatic.com	1	1	external-reference	UNVERIFIED
https://forum.trios.org	forum.trios.org	1	1	external-reference	UNVERIFIED
https://free-trial.adc...​	invalid-template	1	1	external-reference	UNVERIFIED
https://freewebsnippets.com/public/images/20240928104035.jpg	freewebsnippets.com	1	1	external-reference	UNVERIFIED
https://gamma.com.ai/​	gamma.com.ai	1	1	external-reference	UNVERIFIED
https://get.livekit.io	get.livekit.io	1	1	external-reference	UNVERIFIED
https://git.libreoffice.org/core	git.libreoffice.org	1	1	external-reference	UNVERIFIED
https://github.com/{self.user.login}/{repo_name}.git	github.com	1	1	source-repository	UNVERIFIED
https://github.com/apurvsinghgautam/robin	github.com	1	1	source-repository	UNVERIFIED
https://github.com/apurvsinghgautam/robin.git	github.com	1	1	source-repository	UNVERIFIED
https://github.com/automatisch/automatisch	github.com	1	1	source-repository	UNVERIFIED
https://github.com/coqui-ai/TTS	github.com	1	1	source-repository	UNVERIFIED
https://github.com/coqui-ai/TTS?utm_source=chatgpt.com	github.com	1	1	source-repository	UNVERIFIED
https://github.com/deepseek-ai/DeepSeek-R1	github.com	1	1	source-repository	UNVERIFIED
https://github.com/duixcom/Duix-Avatar	github.com	1	1	source-repository	UNVERIFIED
https://github.com/example/ai-pin-diy.git	github.com	1	1	source-repository	UNVERIFIED
https://github.com/FFmpeg/FFmpeg	github.com	1	1	source-repository	UNVERIFIED
https://github.com/flutter/flutter.git	github.com	1	1	source-repository	UNVERIFIED
https://github.com/ggerganov/llama.cpp	github.com	4	4	source-repository	UNVERIFIED
https://github.com/huginn/huginn	github.com	1	1	source-repository	UNVERIFIED
https://github.com/jayprophit	github.com	2	2	source-repository	UNVERIFIED
https://github.com/jayprophit/QuantumVirtualAssistant	github.com	8	2	source-repository	UNVERIFIED
https://github.com/jayprophit/VM-VA-MAIA-QC-	github.com	1	1	source-repository	UNVERIFIED
https://github.com/jayprophit/VM-VA-MAIA-QC-Virtual-Machine-Virtual-assistant-Multiple-AI-Agents-Quantum-Computer	github.com	5	2	source-repository	UNVERIFIED
https://github.com/Kurento/kurento-media-server	github.com	1	1	source-repository	UNVERIFIED
https://github.com/MoonshotAI/Kimi-K2	github.com	1	1	source-repository	UNVERIFIED
https://github.com/myshell-ai/OpenVoice	github.com	2	2	source-repository	UNVERIFIED
https://github.com/myshell-ai/OpenVoice?utm_source=chatgpt.com	github.com	1	1	source-repository	UNVERIFIED
https://github.com/n8n-io/n8n	github.com	1	1	source-repository	UNVERIFIED
https://github.com/new	github.com	1	1	source-repository	UNVERIFIED
https://github.com/obsproject/obs-studio	github.com	1	1	source-repository	UNVERIFIED
https://github.com/omnigenome-x/platform.git	github.com	1	1	source-repository	UNVERIFIED
https://github.com/OpenTalker/SadTalker	github.com	4	1	source-repository	UNVERIFIED
https://github.com/OpenTalker/SadTalker?utm_source=chatgpt.com	github.com	2	1	source-repository	UNVERIFIED
https://github.com/OpenTalker/SadTalker.git	github.com	1	1	source-repository	UNVERIFIED
https://github.com/OpenTalker/SadTalker/blob/main/README.md?utm_source=chatgpt.com	github.com	1	1	source-repository	UNVERIFIED
https://github.com/OpenVidu/openvidu	github.com	1	1	source-repository	UNVERIFIED
https://github.com/PaulRBerg/prb-math	github.com	1	1	source-repository	UNVERIFIED
https://github.com/pipecat-ai/pipecat	github.com	1	1	source-repository	UNVERIFIED
https://github.com/QwenLM/Qwen3	github.com	1	1	source-repository	UNVERIFIED
https://github.com/rhasspy/piper	github.com	1	1	source-repository	UNVERIFIED
https://github.com/rhasspy/piper-sample-generator?utm_source=chatgpt.com	github.com	1	1	source-repository	UNVERIFIED
https://github.com/rhasspy/piper?utm_source=chatgpt.com	github.com	2	1	source-repository	UNVERIFIED
https://github.com/rhasspy/piper/issues/93?utm_source=chatgpt.com	github.com	1	1	source-repository	UNVERIFIED
https://github.com/Rudrabha/Wav2Lip?utm_source=chatgpt.com	github.com	1	1	source-repository	UNVERIFIED
https://github.com/RVC-Boss/GPT-SoVITS	github.com	1	1	source-repository	UNVERIFIED
https://github.com/suno-ai/bark	github.com	1	1	source-repository	UNVERIFIED
https://github.com/sustcsonglin/ring-attention	github.com	1	1	source-repository	UNVERIFIED
https://github.com/theNetworkChuck/dark-web-scraping-guide	github.com	1	1	source-repository	UNVERIFIED
https://github.com/ToxSam/open-source-avatars	github.com	1	1	source-repository	UNVERIFIED
https://github.com/trios/avatar-clone	github.com	1	1	source-repository	UNVERIFIED
https://github.com/trios/trios	github.com	1	1	source-repository	UNVERIFIED
https://github.com/trios/trios-advanced	github.com	1	1	source-repository	UNVERIFIED
https://github.com/trios/trios-core.git	github.com	1	1	source-repository	UNVERIFIED
https://github.com/trios/trios.git	github.com	1	1	source-repository	UNVERIFIED
https://github.com/trios/trios/actions	github.com	1	1	source-repository	UNVERIFIED
https://github.com/trios/trios/releases	github.com	1	1	source-repository	UNVERIFIED
https://github.com/UB-Mannheim/tesseract/wiki	github.com	1	1	source-repository	UNVERIFIED
https://github.com/user-attachments/assets/0aa67016-6eaf-458a-adb2-6e31a0763ed6	github.com	1	1	source-repository	UNVERIFIED
https://github.com/versatica/mediasoup	github.com	2	1	source-repository	UNVERIFIED
https://github.com/yl4579/StyleTTS2?utm_source=chatgpt.com	github.com	1	1	source-repository	UNVERIFIED
https://github.com/your-org/buddyboss-clone/actions	github.com	2	1	source-repository	UNVERIFIED
https://github.com/your-org/buddyboss-clone/discussions	github.com	1	1	source-repository	UNVERIFIED
https://github.com/your-org/buddyboss-clone/issues	github.com	1	1	source-repository	UNVERIFIED
https://github.com/your-org/buddyboss-clone/workflows/CI%20Pipeline/badge.svg	github.com	2	1	source-repository	UNVERIFIED
https://github.com/your-username/your-repo.git	github.com	1	1	source-repository	UNVERIFIED
https://github.com/yourrepo	github.com	2	1	source-repository	UNVERIFIED
https://github.com/yourrepo/quantumai-platform.git	github.com	1	1	source-repository	UNVERIFIED
https://github.com/yourusername/NextGenAI-System.git	github.com	1	1	source-repository	UNVERIFIED
https://github.com/yourusername/OmniAI-System.git	github.com	1	1	source-repository	UNVERIFIED
https://github.com/yourusername/QuantumVirtualAssistant.git	github.com	1	1	source-repository	UNVERIFIED
https://github.com/yourusername/trios.git	github.com	3	1	source-repository	UNVERIFIED
https://github.com/yourusername/trios/releases/download/v4.0.0/trios.iso	github.com	1	1	source-repository	UNVERIFIED
https://github.com/yourusername/virtual-assistant	github.com	1	1	source-repository	UNVERIFIED
https://go.trade-ideas...​	invalid-template	1	1	external-reference	UNVERIFIED
https://google.com	google.com	1	1	external-reference	UNVERIFIED
https://grammarly.go2c...​	invalid-template	1	1	external-reference	UNVERIFIED
https://hop.clickbank.net/?affiliate=xxx&vendor=yyy	hop.clickbank.net	1	1	external-reference	UNVERIFIED
https://hop.clickbank.net/?affiliate=YOURID`	hop.clickbank.net	1	1	external-reference	UNVERIFIED
https://huggingface.co/coqui/XTTS-v2?utm_source=chatgpt.com	huggingface.co	2	1	external-reference	UNVERIFIED
https://huggingface.co/deepseek-ai	huggingface.co	1	1	external-reference	UNVERIFIED
https://huggingface.co/models?language=zh	huggingface.co	1	1	external-reference	UNVERIFIED
https://huggingface.co/moonshotai	huggingface.co	1	1	external-reference	UNVERIFIED
https://huggingface.co/ProsusAI/finbert	huggingface.co	1	1	external-reference	UNVERIFIED
https://huggingface.co/Qwen	huggingface.co	1	1	external-reference	UNVERIFIED
https://huggingface.co/rhasspy/piper-voices/blob/main/en/en_US/lessac/medium/en_US-lessac-medium.onnx.json?utm_source=chatgpt.com	huggingface.co	1	1	external-reference	UNVERIFIED
https://i.imgur.com/placeholder.png	i.imgur.com	1	1	external-reference	UNVERIFIED
https://icon.com/​	icon.com	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/Apollo_Server-4.3-%2523113DD8	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/Cirq-1.2-%230088D6	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/Cypress-12.13-%252317202C	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/Dask-2023.8-%23FFB078	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/Docker-24.0-%25232496ED	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/Elasticsearch-8.8-%2523005571	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/Electron-25-%252347848F	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/Express.js-4.18-%2523000000	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/FastAPI-0.95-%2523009998	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/Grafana-9.5-%2523F46800	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/GraphQL-16.6-%2523E10098	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/Hashicorp_Vault-1.14-%2523FFEC6E	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/HuggingFace_Transformers-4.30-yellow	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/Integrity-94%25-green	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/Jest-29.5-%2523C21325	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/Keycloak-21.0-%252300B4F0	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/Kubernetes-1.27-%2523326CE5	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/l🎉	img.shields.io	1	1	external-reference	UNVERIFIED
https://img.shields.io/badge/license-MIT-blue.svg	img.shields.io	2	2	external-reference	UNVERIFIED
https://img.shields.io/badge/Linked_Components-87%25-yellow	img.shields.io	1	1	external-reference	UNVERIFIED
